category_id,category_name,sub-category_id,sub-category_name,req_id,req_description (Final Language),threat_category,incident_anchor,mitigation_effect,risk_if_absent,severity,attack_technique,coverage_type,cicd_top10,nist_80053,nist_ssdf,cwe
V1,Plan,V1.4,Source Code Management Hardening,V1.4.1,"Verify that the pipeline enforces cryptographic verification of commit signatures against an approved signer list, and that commits failing verification are rejected.",maintainer_compromise,miasma;axios_openai_cascade,Detect,Spoofed or unsigned commit accepted from a CLI or automated path,Medium,spoofed/unsigned commit via CLI,New,CICD-SEC-1,AU-10;IA-9,PS.1;PW.1,CWE-345
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V2,Develop,V2.1,Credential Hygiene,V2.1.1,Verify that local environment files are never used to store secrets in plain text. Use a secrets manager or encrypted storage instead,credential_secret_theft,jscrambler;shai_hulud;teampcp_cascade,Prevent,Infostealer reads plaintext creds from local env/config files,High,read ~/.npmrc/.env/config,New,CICD-SEC-6,IA-5;SC-28,PW.9;PS.1,CWE-312;CWE-798;CWE-522
V2,Develop,V2.2,3rd Party library Audit,V2.2.1,"Verify that scripts which run automatically during package installation, such as preinstall or postinstall hooks, are turned off by default. Only turn them on for packages that have been specifically reviewed and approved",install_build_execution,jscrambler;mastra;miasma;shai_hulud;axios_openai_cascade,Prevent,Install-time script (or native-build file) executes attacker code,Critical,preinstall/postinstall + binding.gyp exec,New,CICD-SEC-4,SI-7;SR-3,PW.4;PW.8,CWE-494;CWE-506;CWE-829
V2,Develop,V2.2,3rd Party library Audit,V2.2.2,"Verify that new packages and package versions are screened for defined risk signals, including at minimum install scripts, very low maintainer count, very recent publication age, and no linked source repository, and that a minimum publish-age is enforced before trust in development or build environments. A package or version that does not pass screening or satisfy the minimum publish-age shall be considered a failure.",install_build_execution,axios_openai_cascade;shai_hulud,Prevent,A freshly-published malicious version is installed before anyone notices,Critical,fresh malicious version; no minimumReleaseAge,Strengthens,CICD-SEC-3,SR-3;SR-11,PW.4,CWE-1104;CWE-494
V2,Develop,V2.2,3rd Party library Audit,V2.2.3,"Verify that a lockfile is integrity-checked against the manifest before a build consumes it, and that the build fails when a package source, version, or integrity hash differs from the recorded value.",artifact_tampering,jscrambler;shai_hulud,Detect,Tampered lockfile silently redirects a dependency to a malicious source,High,lockfile source swap / hash mismatch,New,CICD-SEC-3,SI-7;CM-3,PW.4;PS.2,CWE-345;CWE-494
V2,Develop,V2.2,3rd Party library Audit,V2.2.4,"Verify that the number of third-party dependencies, and how many layers deep they go, is reviewed regularly and reduced where possible",dependency_confusion,mastra;shai_hulud,Contain,Deep transitive dependency sprawl widens the attack surface,Medium,deep transitive dependency abuse,New,CICD-SEC-3,SR-3,PW.4,CWE-1104
V2,Develop,V2.2,3rd Party library Audit,V2.2.5,"Verify that a requested package name is screened against known-good internal and public names before first resolution, and that a near-match to an existing name, or a name never previously used in the organization, requires review before install.",typosquat_slopsquat,typosquat_class,Prevent,"A near-name or hallucinated package resolves and installs, delivering a stealer through simple name confusion.",High,name-similarity / slopsquat screening at resolution,New,CICD-SEC-3,SR-3;SR-11,PW.4,CWE-1357;CWE-829
V2,Develop,V2.2,3rd Party library Audit,V2.2.6,"Verify that packages from public registries are consumed through a private registry proxy or mirror, and that direct installation from public registries is blocked in CI/CD environments.",dependency_confusion,dependency_confusion_class;shai_hulud,Prevent,Resolution falls back to a public index and pulls an attacker package,High,public-index fallback / direct public install,New,CICD-SEC-3,SR-3;CM-7,PW.4;PO.3,CWE-1357;CWE-829
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V3,Integrate (CI*),V3.1,Security of Pipeline Environment,V3.1.1,"Verify that build and CI/CD pipelines install dependencies using a command that installs exactly what's listed in the lockfile, instead of a command that can pull in newer versions on its own",install_build_execution,shai_hulud,Prevent,"A floating install pulls a newer, malicious version at build time",High,floating install pulls newer/malicious,New,CICD-SEC-3,CM-7;SI-7,PW.4,CWE-494;CWE-829
V3,Integrate (CI*),V3.1,Security of Pipeline Environment,V3.1.2,"Verify that text coming from outside the organization, such as a contributor's branch name, commit message, or pull request title, is never inserted directly into a command that the pipeline runs",untrusted_input_pipeline,teampcp_cascade,Prevent,Attacker-controlled input is interpolated into a pipeline command (injection),Critical,script injection via branch/PR title,New,CICD-SEC-4,SI-10,PW.1;PW.5,CWE-94;CWE-78
V3,Integrate (CI*),V3.1,Security of Pipeline Environment,V3.1.3,"Verify that build and publish are two separate pipeline stages, with the built artifact held in between for review. No single pipeline run should be allowed to both build and publish without a check in between",artifact_tampering,teampcp_cascade,Contain,A single compromised run builds and publishes a tampered artifact unchecked,High,single run builds+publishes,Overlap,CICD-SEC-1,CM-5;SR-4,PS.2;PO.5,CWE-353;CWE-494
V3,Integrate (CI*),V3.1,Security of Pipeline Environment,V3.1.4,"Verify that every change to a pipeline or workflow file is scanned by an automated tool before it's merged, checking for unsafe triggers, unescaped external input in commands, and permissions broader than needed",untrusted_input_pipeline,teampcp_cascade,Detect,An unsafe trigger (e.g. pull_request_target) or over-broad permission is merged,Critical,pull_request_target / unsafe trigger / broad perms,New,CICD-SEC-1,CM-3;SI-10;AC-6,PW.7;PO.5,CWE-94;CWE-732
V3,Integrate (CI*),V3.1,Security of Pipeline Environment,V3.1.5,"Verify that every container base image used in a build or CI step is pinned to a specific digest, not a tag that can change. If the digest doesn't match what's expected, the pipeline should fail",artifact_tampering,axios_openai_cascade,Prevent,A mutable base-image tag is repointed to a malicious image,High,mutable tag / floating base image,New,CICD-SEC-3,CM-2;SI-7,PW.4;PS.2,CWE-494;CWE-829
V3,Integrate (CI*),V3.1,Security of Pipeline Environment,V3.1.6,"Verify that CI/CD runners are ephemeral and destroyed after each job, or that persistent runners are re-imaged on a defined schedule and scanned for tampering before reuse.",runner_pipeline_persistence,shai_hulud;teampcp_cascade,Contain,A persistent runner retains attacker implants across jobs,High,persistent runner tampering,New,CICD-SEC-4,CM-2;SC-7,PO.3;PO.5,CWE-506
V3,Integrate (CI*),V3.1,Security of Pipeline Environment,V3.1.7,"Verify that dependency installation and build execution occur in an isolated environment whose outbound network access is denied by default and permitted only to approved package sources and explicitly approved endpoints, so that code executing during install or build cannot download additional stages or send data to arbitrary destinations.",install_build_execution,miasma;jscrambler;shai_hulud,Contain,A payload that executes during install or build has unrestricted egress to download stages and exfiltrate credentials.,Critical,egress-limited hermetic acquisition/build,New,CICD-SEC-4;CICD-SEC-10,SC-7;CM-7,PO.3;PO.5,CWE-506
V3,Integrate (CI*),V3.2,Credential Hygiene,V3.2.1,"Verify that secrets given to a shared or reusable pipeline are limited to the one job that needs them, instead of being automatically passed to every job in the chain",credential_secret_theft,teampcp_cascade,Contain,"Secrets flow to every job in a reusable chain, widening exposure",High,secrets passed to all jobs,New,CICD-SEC-6,AC-6;SC-4,PO.5,CWE-522;CWE-668
V3,Integrate (CI*),V3.2,Credential Hygiene,V3.2.2,"Verify that secrets are not shared across an entire organization or across all repositories. Each project should have its own credentials, scoped to only what that project needs",credential_secret_theft,shai_hulud;teampcp_cascade,Contain,One leaked org-wide secret unlocks every repository,High,org-wide shared secrets,New,CICD-SEC-6,AC-6;IA-5,PO.5,CWE-522
V3,Integrate (CI*),V3.2,Credential Hygiene,V3.2.3,"Verify that when a publish workflow has both a short-lived OIDC credential and a static token configured, the static token is removed rather than left as a silent fallback",trusted_publishing_abuse,teampcp_cascade,Prevent,A silent static-token fallback beside OIDC is abused to publish,High,silent static-token fallback beside OIDC,New,CICD-SEC-6,IA-5;SR-4,PS.2;PO.5,CWE-522
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.1,"Verify that security scanning tools are themselves checked for integrity before they run, so a compromised scanning tool can't falsely mark its own output as clean",dev_tool_compromise,teampcp_cascade,Prevent,A compromised scanner (the TeamPCP vector) passes itself as clean,High,compromised scanner marks itself clean,New,CICD-SEC-8,SI-7;SA-12,PW.6;PO.3,CWE-494;CWE-345
V3,Integrate (CI*),V3.3,Continuous Security Checks,V3.3.2,"Verify that dependency installation and build steps in pipeline build environments run in an instrumented environment, and that a child process, script interpreter launch, or network connection that is not expected for the declared build triggers an alert.",install_build_execution,jscrambler;miasma;shai_hulud,Detect,"Malicious code that executes during install or build, from any entry point including ones install-script controls do not cover, runs unobserved.",Critical,behavioural detection during install/build,New,CICD-SEC-4,SI-4;SI-7,PO.4;PW.4,CWE-506;CWE-778
V3,Integrate (CI*),V3.4,Integrity of Artifacts,V3.4.1,"Verify that every published artifact is automatically compared against the output of its release pipeline, including declared version, embedded build metadata, and content digest, and that any divergence triggers an alert and blocks promotion.",trusted_publishing_abuse,teampcp_cascade,Detect,A tampered artifact published through a legitimate or breached trusted-publishing path ships because nothing compares what was published to what the pipeline built.,High,publish-vs-built consistency / version-skew diff,New,CICD-SEC-9,SI-7;SR-4,PS.2;PS.3,CWE-345;CWE-494
V3,Integrate (CI*),V3.4,Integrity of Artifacts,V3.4.2,"Verify that build outputs include a signed provenance attestation that binds the artifact to its source, builder identity, and build parameters, and that downstream consumers validate this attestation before use.",provenance_integrity_gap,miasma;axios_openai_cascade;teampcp_cascade,Prevent,No enforced artifact-to-source binding; a tampered artifact ships (Axios check-before-use failure),Critical,artifact-source binding not enforced,New,CICD-SEC-9,SR-4;SI-7,PS.2;PW.6,CWE-345;CWE-347
V3,Integrate (CI*),V3.4,Integrity of Artifacts,V3.4.3,"Verify that each pipeline stage checks the signature of any artifact it receives from the stage before it, against a known trust source. If that check fails, the pipeline run should fail too",provenance_integrity_gap,miasma;axios_openai_cascade;teampcp_cascade,Prevent,An unverified/tampered artifact is passed between stages,High,unverified artifact between stages,New,CICD-SEC-9,SI-7;SR-4,PS.2;PW.6,CWE-345;CWE-347
V3,Integrate (CI*),V3.4,Integrity of Artifacts,V3.4.4,"Verify that pinned commit references actually point to a commit that exists on a real branch, not an orphan or ""shadow"" commit that was never merged anywhere",artifact_tampering,teampcp_cascade,Detect,A pin to a shadow/orphan commit hides malicious code,Medium,shadow/orphan commit pin,New,CICD-SEC-4,SI-7;CM-3,PS.1,CWE-345
V3,Integrate (CI*),V3.4,Integrity of Artifacts,V3.4.5,"Verify that CI/CD cache contents are signed or checksummed at write time, and that the verification key, signature, or checksum is stored in a separate trust boundary from the cache. Restored cache contents shall be verified against that value before use. A cache whose integrity value is stored with the cache, or that fails verification before use, shall be considered a failure.",artifact_tampering,teampcp_cascade,Detect,Poisoned cache is restored and trusted in a later build,High,cache poisoning,New,CICD-SEC-4,SI-7,PS.2,CWE-349;CWE-494
V3,Integrate (CI*),V3.4,Integrity of Artifacts,V3.4.6,"Verify that build provenance attestations are validated not only for signature, but also for recorded builder identity and isolation state against an expected baseline. An attestation missing these fields or not matching the expected baseline shall be considered a failure.",provenance_integrity_gap,axios_openai_cascade,Detect,A validly-signed attestation from a tampered build environment is trusted,High,valid signature but tampered build env,New,CICD-SEC-9,SR-4;SI-7,PS.2;PW.6,CWE-345
V3,Integrate (CI*),V3.4,Integrity of Artifacts,V3.4.7,Verify that a release tag or version reference cannot be quietly overwritten once it has been published,artifact_tampering,miasma;teampcp_cascade,Prevent,Release tags are force-pushed to malicious commits (the TeamPCP move),Critical,tag rewriting / force-push,New,CICD-SEC-9,SI-7;CM-5,PS.1;PS.2,CWE-494
V3,Integrate (CI*),V3.4,Integrity of Artifacts,V3.4.8,"Verify that pinned external build steps or plugins use only pinned dependencies, evidenced by a recursive dependency manifest or vendored dependencies. Where full transitive pinning is not feasible, first-order dependencies shall be pinned and deeper transitive risk documented.",artifact_tampering,teampcp_cascade,Prevent,A pinned Action pulls an unpinned transitive dependency that is swapped,Medium,transitive Action dependency unpinned,New,CICD-SEC-3,CM-7;SR-3,PW.4,CWE-1104;CWE-829
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V4,Release (CD*),V4.1,Secure Deployment Practices,V4.1.1,Verify that signature and attestation checks for deployment cannot be bypassed except through a documented break-glass process that generates an immediate alert and requires post-incident review.,provenance_integrity_gap,axios_openai_cascade,Prevent,Verification is bypassed via a break-glass path and an unverified artifact ships,High,bypassed verification / break-glass,New,CICD-SEC-9,SI-7;CM-5,PS.2;PW.6,CWE-345;CWE-347
V4,Release (CD*),V4.1,Secure Deployment Practices,V4.1.2,Verify that the release stage refuses any credential carried over from the integrate stage or any earlier stage. Release actions should only work with credentials issued specifically for release,credential_secret_theft,teampcp_cascade,Contain,An earlier-stage credential is reused to perform a release,High,carried-over stage credential,New,CICD-SEC-6,IA-5;AC-6,PO.5,CWE-522
V4,Release (CD*),V4.1,Secure Deployment Practices,V4.1.3,Verify that where a single publishing identity is authorized to release more than one package that identity cannot release new versions of multiple packages in rapid succession without an additional approval.,worm_propagation,shai_hulud;miasma;mastra;jscrambler,Contain,One stolen publishing credential republishes across every reachable package in minutes; detection alone cannot outpace machine-speed propagation.,Critical,publish rate and blast-radius bound; release-manifest gate,New,CICD-SEC-2;CICD-SEC-9,AC-6;SR-6;IR-4,PS.1;RV.1,CWE-506;CWE-269
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V5,Operate,V5.1,Security Standard Enforcement,V5.1.1,"Verify that every software component running in production can be traced to a current, pinned SBOM generated by the build pipeline and validated before deployment, confirming nothing was installed outside the approved build process.",provenance_integrity_gap,axios_openai_cascade;shai_hulud,Detect,A component installed outside the normal build reaches production untraced,High,unapproved component in prod,New,CICD-SEC-9,CM-8;SR-4,PS.2;PW.4,CWE-1104
V5,Operate,V5.2,Detection & Monitoring,V5.2.1,"Verify that outbound network traffic from CI/CD runners is monitored, and that an alert fires when a connection goes to an unexpected or unauthorized destination",detection_monitoring_gap,miasma;shai_hulud;teampcp_cascade,Detect,C2/exfiltration egress from a runner goes unnoticed,High,C2/exfil egress from runner,New,CICD-SEC-10,SI-4;SC-7,PO.4;RV.1,CWE-778
V5,Operate,V5.2,Detection & Monitoring,V5.1.2,"Verify that only the specific processes that need it are allowed to query internal cloud metadata endpoints from a build agent, and that any other process doing so triggers an alert",credential_secret_theft,teampcp_cascade,Detect,A build process pulls cloud metadata/IMDS credentials,High,cloud metadata/IMDS cred theft,New,CICD-SEC-6,SC-7;SI-4,PO.3,CWE-918;CWE-522
V5,Operate,V5.2,Detection & Monitoring,V5.2.2,Verify that one process reading another process's memory on a build agent is treated as abnormal and triggers an alert,detection_monitoring_gap,teampcp_cascade,Detect,A runner-memory dump harvests secrets (tj-actions pattern) undetected,Medium,runner memory dump,New,CICD-SEC-10,SI-4,PO.4,CWE-778
V5,Operate,V5.2,Detection & Monitoring,V5.1.3,"Verify that publishing a new package version from an automated pipeline always sends a notification, and that any publish the team didn't expect gets investigated before it's trusted",maintainer_compromise,jscrambler;miasma;shai_hulud;axios_openai_cascade,Detect,An unexpected or mass republish (worm behaviour) goes uninvestigated,High,unexpected / mass republish,New,CICD-SEC-10,SI-4;AU-6,RV.1;PO.4,CWE-778
V5,Operate,V5.2,Detection & Monitoring,V5.2.3,"Verify that any workload appearing in a shared or system-level part of a runtime cluster is checked against an approved list, so anything deployed with stolen pipeline credentials gets caught quickly",detection_monitoring_gap,teampcp_cascade,Detect,A workload deployed with stolen pipeline credentials runs unnoticed,Medium,deploy via stolen pipeline creds,New,CICD-SEC-10,SI-4;CM-8,PO.4,CWE-778
V5,Operate,V5.2,Detection & Monitoring,V5.1.4,"Verify that changes to CI/CD pipeline definitions, workflow files, and build configurations generate alerts and are logged with the identity of the actor who made the change.",detection_monitoring_gap,teampcp_cascade,Detect,A pipeline-as-code modification (attacker persistence) is not alerted,High,pipeline-as-code modification,New,CICD-SEC-10,SI-4;CM-3;AU-6,PO.4;RV.1,CWE-778
V5,Operate,V5.2,Detection & Monitoring,V5.2.4,"Verify that developer endpoints generate alerts when an installed extension, add-on, or tool bundle produces anomalous behaviour, including network egress from test runners or build tools, reads of credential files outside the user session context, or process activity inconsistent with the approved purpose of the tool.",install_build_execution,jscrambler;shai_hulud;tasksjacker_polinrider,Detect,Malicious code running inside an approved developer tool context harvests credentials on the workstation with nothing watching for it.,High,endpoint behavioural anomaly detection (pairs with P1),New,CICD-SEC-4;CICD-SEC-10,SI-4,PO.4;RV.1,CWE-506;CWE-778
V5,Operate,V5.3,Incident Response & Recovery,V5.3.1,"Verify that when a credential is rotated because of an incident, the compromised credential is revoked before the replacement is activated, and within a defined SLO.",credential_secret_theft,teampcp_cascade,Contain,A compromised credential stays valid during rotation and is abused,High,incident cred rotation ordering,New,CICD-SEC-6,IR-4;IA-5,RV.2;RV.3,CWE-522
